SMILES,RDKIT_SMILES,range of docking_score,type,range of hit_ratio,hit_ratio
,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=O,,2,1,0.01
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.21
,NC(C(F)(F)F)C(F)(F)F,,2,1,0.01
,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.11
,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,4,0.19
,COC(=O)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,FC(F)(F)COCC(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C=C(C(F)(F)F)C(F)(F)F,,2,3,0.11
,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(C=C(O)C(F)(F)F)C(F)(F)F,,2,1,0.02
,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.25
,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.01
,CC(O)C(F)(F)C(F)(F)F,,2,1,0.01
,CC(F)(F)CC(F)(F)F,,2,0,0
,FC(F)OCC(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.1
,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
,OC(O)(C(F)C(O)(O)C(F)(F)F)C(F)(F)F,,2,4,0.16
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,8,0.37
,NC(O)(C(F)(F)F)C(F)(F)F,,2,1,0.03
,C=CC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,,2,1,0.01
