DTXSID,PREFERRED_NAME,CASRN,SMILES,multmer_test,inorganic,CAN_SMILES,docking score,MMGBSA,Polymers,isDuplicated,firstOccurred,IMPORTANCE,Primary_Class,Sec_class
DTXSID90896292,5-(Tridecafluorohexyl)uridine,58671-32-2,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FALSE,FALSE,OCC1OC(C(C1O)O)n1cc(c(=O)[nH]c1=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-13.627,-53.8179,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID40896227,"{4-[(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoroundecyl)oxy]-5-methoxy-2-nitrophenyl}methanol",853929-03-0,COc1cc(CO)c(cc1OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O,FALSE,FALSE,OCc1cc(OC)c(cc1[N+](=O)[O-])OCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-13.057,-66.2631,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID90785778,4-[4-(Heptadecafluorooctyl)phenoxy]phenol,404580-53-6,OC1=CC=C(OC2=CC=C(C=C2)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(c1ccc(cc1)Oc1ccc(cc1)O)F,-12.929,-57.2147,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID50858139,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl beta-D-glucopyranosiduronic acid",864551-34-8,O[C@@H]1[C@@H](O)[C@H](OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[C@@H]([C@H]1O)C(O)=O,FALSE,FALSE,OC(=O)C1OC(OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C1O)O)O,-12.809,-55.4244,FALSE,FALSE,,,"Other aliphatics, cyclic","Others, cyclic"
DTXSID30309992,NSC221106,59727-25-2,FC(F)(F)C(F)(F)C(F)(F)COCC1=CNC(=O)NC1=O,FALSE,FALSE,O=c1[nH]c(=O)[nH]cc1COCC(C(C(F)(F)F)(F)F)(F)F,-12.667,-39.8814,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID70895980,"3-(6,6,7,7,8,8,9,9,10,10,11,11,11-Tridecafluoroundecyl)benzene-1,2-diol",131545-70-5,Oc1cccc(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O,FALSE,FALSE,Oc1cccc(c1O)CCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-12.652,-51.8161,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID60895974,"3-(12,12,13,13,14,14,15,15,15-Nonafluoropentadecyl)benzene-1,2-diol",131545-71-6,Oc1cccc(CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O,FALSE,FALSE,Oc1cccc(c1O)CCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-12.566,-64.5733,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID30896731,"3-Fluoro-4-{(E)-[4'-(heptafluoropropyl)[1,1'-biphenyl]-4-yl]diazenyl}phenol",113448-90-1,Oc1ccc(\N=N\c2ccc(cc2)-c2ccc(cc2)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1,FALSE,FALSE,Oc1ccc(c(c1)F)N=Nc1ccc(cc1)c1ccc(cc1)C(C(C(F)(F)F)(F)F)(F)F,-12.298,-53.187,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID40897496,"(3β,7α)-25,26,26,26,27,27,27-Heptafluorocholest-5-ene-3,7-diol",240129-40-2,[H]C(C)(CCCC(F)(C(F)(F)F)C(F)(F)F)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,FALSE,FALSE,OC1CCC2(C(=CC(C3C2CCC2(C3CCC2C(CCCC(C(F)(F)F)(C(F)(F)F)F)C)C)O)C1)C,-12.278,-71.9518,FALSE,FALSE,,,Steriod-Backbone,Steriod-Backbone
DTXSID80827555,1-[4-(Nonafluorobutyl)phenyl]butyl diphenyl phosphate,846543-02-0,CCCC(OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FALSE,FALSE,CCCC(c1ccc(cc1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OP(=O)(Oc1ccccc1)Oc1ccccc1,-12.142,-71.6464,FALSE,FALSE,,,Side-chain aromatics,Others
