RDKIT_SMILES,First_Class,Second_Class
FC(F)Cl,PFAS derivatives,PFAS halogen derivatives
FC(F)=C(F)F,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)(Cl)C(F)(Cl)Cl,PFAS derivatives,PFAS halogen derivatives
C=C(F)F,PFAS derivatives,With fluorinated C=C or C=O carbon
OC(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
CC(F)F,Not PFAS,Not PFAS by current definition
FC(F)C(F)(F)F,Other aliphatics,Others
FC(F)(Cl)C(F)(F)Cl,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)=C(F)Cl,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)=C(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(Cl)Cl,Other aliphatics,Others
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
FC(F)(F)C1(F)OC1(F)F,"Other aliphatics, cyclic","Others, cyclic"
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOHs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOHs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,Side-chain aromatics,Others
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,N-Alkyl FASAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,Side-chain aromatics,Others
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTACs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTACs
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,FASAs
